folder,seed,K_r_lmp,K_theta_lmp,k_phys,alpha_hat_dump,alpha_hat_temp,k_hat_dump,k_hat_temp,dump_bond_idx,N_frames
k_r4.2_k_theta13.0Seed54654685,54654685,4.2,13.0,8.4,9.52941319220336,9.450132215964583,19.05882638440672,18.900264431929166,1,8001
k_r4.2_k_theta4.0Seed54654651,54654651,4.2,4.0,8.4,9.539654243856534,9.178730505552256,19.079308487713067,18.357461011104512,1,8001
k_r4.2_k_theta4.0Seed54654653,54654653,4.2,4.0,8.4,9.44870350990031,9.1960629418562,18.89740701980062,18.3921258837124,1,8001
k_r4.2_k_theta4.0Seed54654659,54654659,4.2,4.0,8.4,9.75297965883264,9.4520704237818,19.50595931766528,18.9041408475636,0,8001
k_r4.2_k_theta4.0Seed54654661,54654661,4.2,4.0,8.4,9.850753201594273,9.695614304469414,19.701506403188546,19.391228608938828,0,8001
k_r4.2_k_theta4.0Seed54654685,54654685,4.2,4.0,8.4,9.780600274632253,9.752375535661923,19.561200549264505,19.504751071323845,1,8001
k_r4.2_k_theta7.0Seed54654651,54654651,4.2,7.0,8.4,9.412012702739071,8.869131309298723,18.824025405478142,17.738262618597446,1,8001
k_r4.2_k_theta7.0Seed54654653,54654653,4.2,7.0,8.4,9.16252672387733,8.993148009832293,18.32505344775466,17.986296019664586,0,8001
k_r4.2_k_theta7.0Seed54654659,54654659,4.2,7.0,8.4,9.769964494440298,9.792581539532465,19.539928988880597,19.58516307906493,1,8001
k_r4.2_k_theta7.0Seed54654661,54654661,4.2,7.0,8.4,9.44773664854708,9.25889277730826,18.89547329709416,18.51778555461652,1,8001
k_r4.2_k_theta7.0Seed54654685,54654685,4.2,7.0,8.4,9.7398639807829,9.64928494842449,19.4797279615658,19.29856989684898,1,8001
k_r5.2_k_theta1.0Seed54654651,54654651,5.2,1.0,10.4,9.23553539858835,9.02826414940116,18.4710707971767,18.05652829880232,1,8001
k_r5.2_k_theta1.0Seed54654653,54654653,5.2,1.0,10.4,9.150084182050819,8.734935409841865,18.300168364101637,17.46987081968373,1,8001
k_r5.2_k_theta1.0Seed54654659,54654659,5.2,1.0,10.4,9.66419780055973,9.439682085474429,19.32839560111946,18.879364170948858,1,8001
k_r5.2_k_theta1.0Seed54654661,54654661,5.2,1.0,10.4,9.46352915703678,9.180238723593606,18.92705831407356,18.36047744718721,0,8001
k_r5.2_k_theta1.0Seed54654685,54654685,5.2,1.0,10.4,9.446365926004866,9.518700359588482,18.89273185200973,19.037400719176965,0,8001
k_r5.2_k_theta10.0Seed54654651,54654651,5.2,10.0,10.4,9.311835223486694,9.038873247365176,18.62367044697339,18.077746494730352,1,8001
k_r5.2_k_theta10.0Seed54654653,54654653,5.2,10.0,10.4,9.056603469859057,8.789180216033094,18.113206939718115,17.578360432066187,1,8001
k_r5.2_k_theta10.0Seed54654659,54654659,5.2,10.0,10.4,9.716421079389358,9.37327366595985,19.432842158778715,18.7465473319197,1,8001
k_r5.2_k_theta10.0Seed54654661,54654661,5.2,10.0,10.4,9.830552260431578,9.668392644796443,19.661104520863155,19.336785289592886,1,8001
k_r5.2_k_theta10.0Seed54654685,54654685,5.2,10.0,10.4,9.436804401408216,9.470616504581308,18.87360880281643,18.941233009162616,0,8001
k_r5.2_k_theta13.0Seed54654651,54654651,5.2,13.0,10.4,9.543327077128792,9.398407323244793,19.086654154257584,18.796814646489587,1,8001
k_r5.2_k_theta13.0Seed54654653,54654653,5.2,13.0,10.4,9.154519110239924,8.717999049954786,18.30903822047985,17.435998099909572,1,8001
k_r5.2_k_theta13.0Seed54654659,54654659,5.2,13.0,10.4,9.729114037426571,9.547874055881001,19.458228074853142,19.095748111762003,1,8001
k_r5.2_k_theta13.0Seed54654661,54654661,5.2,13.0,10.4,9.596291549683235,9.488249082877298,19.19258309936647,18.976498165754595,0,8001
k_r5.2_k_theta13.0Seed54654685,54654685,5.2,13.0,10.4,9.559070123019616,9.551904938483997,19.118140246039232,19.103809876967993,1,8001
k_r5.2_k_theta4.0Seed54654651,54654651,5.2,4.0,10.4,9.52230155936795,8.896343128150951,19.0446031187359,17.792686256301902,1,8001
k_r5.2_k_theta4.0Seed54654653,54654653,5.2,4.0,10.4,9.300392826918308,8.868516688699138,18.600785653836617,17.737033377398276,0,8001
k_r5.2_k_theta4.0Seed54654659,54654659,5.2,4.0,10.4,9.901158254434451,9.565719559840266,19.802316508868902,19.131439119680532,0,8001
k_r5.2_k_theta4.0Seed54654661,54654661,5.2,4.0,10.4,9.976553974439188,9.775545694174458,19.953107948878376,19.551091388348915,0,8001
k_r5.2_k_theta4.0Seed54654685,54654685,5.2,4.0,10.4,9.95948549831071,9.826238954820607,19.91897099662142,19.652477909641213,0,8001
k_r5.2_k_theta7.0Seed54654651,54654651,5.2,7.0,10.4,9.19535423905823,8.950000825932593,18.39070847811646,17.900001651865185,0,8001
k_r5.2_k_theta7.0Seed54654653,54654653,5.2,7.0,10.4,9.195648549343616,8.85605593058118,18.391297098687232,17.71211186116236,0,8001
k_r5.2_k_theta7.0Seed54654659,54654659,5.2,7.0,10.4,9.75328886035101,9.603923518021652,19.50657772070202,19.207847036043304,0,8001
k_r5.2_k_theta7.0Seed54654661,54654661,5.2,7.0,10.4,9.363258037793573,9.257793841021556,18.726516075587146,18.515587682043112,1,8001
k_r5.2_k_theta7.0Seed54654685,54654685,5.2,7.0,10.4,9.5923178989522,9.507341520586758,19.1846357979044,19.014683041173516,0,8001
k_r6.2_k_theta1.0Seed54654651,54654651,6.2,1.0,12.4,9.161327054581031,8.904084132839044,18.322654109162062,17.808168265678088,1,8001
k_r6.2_k_theta1.0Seed54654653,54654653,6.2,1.0,12.4,9.280268154589182,9.223869675111349,18.560536309178364,18.447739350222697,1,8001
k_r6.2_k_theta1.0Seed54654659,54654659,6.2,1.0,12.4,9.868402050599695,9.714782306261034,19.73680410119939,19.429564612522068,0,8001
k_r6.2_k_theta1.0Seed54654661,54654661,6.2,1.0,12.4,9.158218792528825,9.075499311712495,18.31643758505765,18.15099862342499,0,8001
k_r6.2_k_theta1.0Seed54654685,54654685,6.2,1.0,12.4,9.586131169894317,9.381640250979208,19.172262339788634,18.763280501958416,1,8001
k_r6.2_k_theta10.0Seed54654651,54654651,6.2,10.0,12.4,9.304145598366638,8.937864277597495,18.608291196733276,17.87572855519499,1,8001
k_r6.2_k_theta10.0Seed54654653,54654653,6.2,10.0,12.4,9.101636147157397,8.874208729744272,18.203272294314793,17.748417459488543,1,8001
k_r6.2_k_theta10.0Seed54654659,54654659,6.2,10.0,12.4,9.720372632379934,9.44408119270753,19.44074526475987,18.88816238541506,0,8001
k_r6.2_k_theta10.0Seed54654661,54654661,6.2,10.0,12.4,9.676081952222242,9.479825756713339,19.352163904444485,18.959651513426678,0,8001
